,Name,Nationality,National_Position,National_Kit,Club,Club_Position,Club_Kit,Rating,Height,Weight,Age,Preffered_Position,Weak_foot,Skill_Moves,Ball_Control,Dribbling,Marking,Sliding_Tackle,Standing_Tackle,Aggression,Reactions,Attacking_Position,Interceptions,Speed,Finishing,Penalties
3627,Mamadou Samassa,Mali,0,0.0,ES Troyes AC,GK,30.0,72,198,85,27,GK,1,1,19,12,12,12,11,43,67,11,19,59,11,18
3628,Ali Gadzhibekov,Russia,0,0.0,Krylya Sovetov,Sub,5.0,72,185,74,27,CB/RB,2,2,64,49,67,69,75,69,71,45,74,72,52,53
3629,Marcelo Toscano,Brazil,0,0.0,Jeju United,RS,10.0,72,184,83,31,ST/LW,3,3,71,66,53,50,47,66,72,70,56,68,72,74
3630,Samuel Armenteros,Sweden,0,0.0,Heracles Almelo,ST,9.0,72,181,80,26,ST,3,4,70,77,25,23,36,43,71,74,31,67,71,68
3631,Ramalho,Spain,0,0.0,Girona CF,RCB,4.0,72,181,68,23,CB/RB,2,2,51,43,72,78,75,69,62,39,66,78,40,41
3632,Lillo,Spain,0,0.0,Sporting Gijón,Sub,16.0,72,176,76,28,RB/CB/RWB,4,2,62,52,73,78,70,86,68,51,75,69,46,59
3633,Davy Claude Angan,Ivory Coast,0,0.0,Gaziantepspor,Sub,19.0,72,182,75,29,ST/LM,3,4,71,71,31,21,24,52,70,72,32,81,71,64
3634,Víctor Vázquez,Spain,0,0.0,Toronto FC,Sub,7.0,72,176,76,30,CM/CAM,2,3,76,71,25,22,32,32,80,70,52,46,68,72
3635,Aridane,Spain,0,0.0,Cádiz C.F.,RCB,4.0,72,186,77,28,CB,3,2,55,30,69,72,70,79,56,35,67,67,26,31
3636,Candeias,Portugal,0,0.0,Aytemiz Alanyaspor,LM,23.0,72,177,78,29,RM/LM,4,4,75,75,38,43,44,62,71,69,42,79,63,65
3637,Junior Hoilett,Canada,LW,10.0,Cardiff City,Sub,33.0,72,173,70,26,LM/CF,3,3,73,77,17,25,26,66,67,68,40,90,66,68
3638,Artur Sobiech,Poland,0,0.0,Hannover 96,Sub,9.0,72,185,81,26,ST,3,2,69,67,35,24,32,71,73,75,32,77,71,71
3639,Junior Stanislas,England,0,0.0,Bournemouth,Sub,19.0,72,183,76,27,RM/LM,3,4,72,72,16,29,27,31,64,63,60,84,69,61
3640,Cristian Pasquato,Italy,0,0.0,Krylya Sovetov,RS,10.0,72,172,70,27,CAM,4,4,78,77,15,15,15,48,65,64,11,76,60,72
3641,Lorenzo Ariaudo,Italy,0,0.0,Frosinone,RCB,15.0,72,186,76,27,CB,3,2,58,54,75,72,75,74,66,33,72,55,30,30
3642,Florian Jungwirth,Germany,0,0.0,SJ Earthquakes,LCB,23.0,72,181,77,28,CDM/CB,3,2,66,60,69,74,70,69,71,48,78,67,21,37
3643,Jens Hegeler,Germany,0,0.0,Bristol City,Sub,31.0,72,193,86,29,CB/CM,3,3,71,69,72,67,76,66,73,67,69,55,55,79
3644,Samuel Souprayen,France,0,0.0,Hellas Verona,LB,18.0,72,187,75,28,LB,3,2,65,66,70,74,72,75,70,44,70,71,20,44
3645,Néstor Calderón,Mexico,0,0.0,Guadalajara,Sub,18.0,72,172,70,28,LM/RM,4,3,73,73,57,55,58,51,58,67,61,78,67,77
3646,Francesco Renzetti,Italy,0,0.0,Cesena,LM,33.0,72,174,65,29,LB/LM,4,2,66,70,68,67,68,75,72,52,67,85,50,46
3647,Libor Kozák,Czech Republic,0,0.0,Aston Villa,Res,18.0,72,193,82,27,ST,3,2,68,62,25,29,21,83,66,77,29,54,75,76
3648,Michael Morrison,England,0,0.0,Birmingham City,Sub,28.0,72,183,76,29,CB,3,2,53,29,75,73,73,75,70,34,67,50,23,36
3649,Johannes Flum,Germany,0,0.0,FC St. Pauli,Sub,23.0,72,190,82,29,CDM/CM,3,2,70,65,68,64,71,73,73,62,74,51,54,57
3650,Semir Štilić,Bosnia Herzegovina,0,0.0,Wisła Kraków,Sub,18.0,73,183,75,29,CAM/CM,2,3,80,70,12,25,25,33,75,72,23,55,66,60
3651,Marvin Martin,France,0,0.0,Dijon FCO,Sub,13.0,72,171,68,29,CAM/CM,4,3,73,70,39,35,59,63,70,72,68,66,61,61
3652,Bruno Ecuélé Manga,Gabon,0,0.0,Cardiff City,Sub,5.0,72,187,75,28,CB,3,2,59,33,66,73,72,78,63,23,77,66,23,46
3653,Lex Immers,Netherlands,0,0.0,Club Brugge,Sub,27.0,72,189,77,30,ST/CM,2,2,72,63,53,60,67,83,72,75,59,50,68,71
3654,Adama Valentin Diomande,Norway,Sub,20.0,Hull City,Sub,20.0,72,180,75,27,ST,4,2,70,67,15,12,17,71,69,71,33,78,73,69
3655,Artem Kravets,Ukraine,0,0.0,Granada CF,Sub,24.0,72,189,79,27,ST,3,3,66,64,28,34,32,59,76,78,54,64,73,59
3656,Ondřej Čelůstka,Czech Republic,Sub,18.0,Antalyaspor,RB,28.0,72,186,80,27,RB/CB,3,2,69,70,75,70,75,72,64,53,74,67,48,40
3657,Edwin Hernández,Mexico,0,0.0,Guadalajara,LB,6.0,72,166,72,30,LB,4,3,71,70,69,72,70,57,60,61,69,80,52,54
3658,Sergey Pesyakov,Russia,0,0.0,Spartak Moscow,Sub,30.0,72,199,92,28,GK,3,1,19,12,12,12,15,35,66,14,19,36,12,22
3659,David Meyler,Republic of Ireland,0,0.0,Hull City,Sub,7.0,72,189,86,27,CM,3,2,73,68,61,60,68,86,73,65,65,55,61,47
3660,Jiloan Hamad,Sweden,0,0.0,Hammarby IF,CAM,90.0,72,173,72,26,RM/CAM,3,3,77,70,30,43,47,56,74,73,46,68,57,63
3661,Carlos Peña,Mexico,0,0.0,León,Sub,27.0,72,176,76,27,CM/CAM,3,3,70,72,61,64,69,70,75,77,69,72,68,62
3662,Israel Jiménez,Mexico,0,0.0,Tigres,Res,2.0,72,173,68,27,RB,3,2,70,71,70,70,72,69,70,68,73,67,45,61
3663,Ashley Barnes,Austria,0,0.0,Burnley,LS,10.0,72,186,76,27,ST/CAM,4,2,73,69,33,39,46,85,68,72,35,69,72,72
3664,Tsepo Masilela,South Africa,0,0.0,Kaizer Chiefs,LB,24.0,72,175,70,31,LB,3,3,72,68,70,73,72,76,72,57,63,83,50,46
3665,Güray Vural,Turkey,0,0.0,Kayserispor,RM,77.0,72,177,65,28,LB/LM,3,3,78,78,67,64,68,71,71,70,65,84,64,57
3666,Tamás Kádár,Hungary,LCB,4.0,Free Agents,Res,99.0,72,188,79,27,LB,2,2,66,58,69,69,73,73,67,46,70,73,34,35
3667,Nicolás Peric,Chile,0,0.0,Audax Italiano,GK,22.0,72,183,81,38,GK,2,1,18,22,17,17,13,46,74,12,26,50,24,24
3668,Juan Cala,Spain,0,0.0,Getafe CF,LCB,16.0,72,187,76,27,CB,3,2,63,57,73,71,70,73,67,36,75,66,46,46
3669,Salustiano Candia,Paraguay,LB,6.0,Free Agents,Res,99.0,72,183,82,33,CB/LB,2,2,59,34,67,71,75,90,62,17,66,63,40,55
3670,Tommy Smith,New Zealand,0,0.0,Ipswich,LCB,5.0,72,187,82,26,CB,2,2,55,30,67,69,74,78,65,43,68,72,24,34
3671,Rodolfo Cota,Mexico,0,0.0,Guadalajara,GK,30.0,72,183,86,29,GK,2,1,25,15,11,12,13,29,69,11,14,56,12,25
3672,Denis Odoi,Belgium,0,0.0,Fulham,Sub,4.0,72,178,67,28,RB/LB,2,3,67,71,69,70,68,73,69,62,68,88,39,49
3673,Vasco Fernandes,Portugal,0,0.0,V. Setúbal,LCB,13.0,72,182,76,30,CB,3,2,68,61,68,68,73,79,67,43,69,75,27,38
3674,Panagiotis Glykos,Greece,Sub,13.0,PAOK,GK,71.0,72,187,82,30,GK,2,1,18,16,11,12,13,12,71,3,14,47,13,24
3675,Chris Martin,Scotland,Sub,18.0,Fulham,Sub,25.0,72,185,73,28,ST,4,3,74,67,34,34,40,73,69,76,47,65,75,70
3676,Nicolás Sánchez,Argentina,0,0.0,Monterrey,Sub,25.0,72,187,82,31,CB,3,2,56,55,72,71,73,72,69,28,68,64,40,56
3677,Michiel Kramer,Netherlands,0,0.0,Feyenoord,Sub,29.0,72,196,80,28,ST,3,2,66,52,29,34,32,39,70,78,28,71,77,63
3678,Ádám Bogdán,Hungary,0,0.0,Wigan Athletic,Sub,1.0,72,194,90,29,GK,3,1,18,11,15,16,11,20,67,13,24,56,11,18
3679,Julien Cétout,France,0,0.0,AS Nancy,RB,28.0,72,183,74,29,RB/CB,3,2,71,68,74,68,72,77,72,48,72,56,49,41
3680,Luis Ardente,Argentina,0,0.0,San Juan,GK,1.0,72,189,81,35,GK,2,1,13,11,14,12,13,18,62,10,10,21,12,66
3681,Sergio Tejera,Spain,0,0.0,Gimnàstic,RCM,23.0,72,180,75,26,CDM/CAM,2,3,73,71,66,68,69,93,59,61,65,66,61,50
3682,Lasse Vibe,Denmark,0,0.0,Brentford,ST,21.0,72,181,73,30,ST/RM,3,3,68,68,34,23,36,67,78,76,34,86,71,65
3683,Vincent Nogueira,France,0,0.0,RC Strasbourg,RCM,5.0,72,170,61,29,CM/CDM,3,3,72,72,59,59,61,67,70,66,67,73,64,63
3684,Mohammed Abdellaoue,Norway,0,0.0,Vålerenga Fotball,ST,25.0,72,182,80,31,ST,3,3,69,67,38,23,35,52,73,78,42,71,70,75
3685,Jean-Armel Kana-Biyik,Cameroon,0,0.0,Kayserispor,RCB,76.0,72,184,86,27,CB,3,2,59,56,70,66,71,80,70,35,69,65,20,45
3686,Ima Faneva Andriatsima,Madagascar,0,0.0,FC Sochaux,ST,28.0,72,183,74,32,ST,4,2,69,73,23,18,19,53,69,74,42,73,76,65
3687,Avdija Vršajevič,Bosnia Herzegovina,0,0.0,Osmanlıspor,RB,2.0,72,179,76,31,RB/LB,3,3,68,65,71,70,72,66,66,63,69,84,57,55
3688,Jonathan Hogg,England,0,0.0,Huddersfield,Sub,6.0,72,177,73,28,CDM/CM,3,3,68,67,68,72,72,75,73,58,69,74,52,41
3689,James Henry,England,0,0.0,Bolton,Sub,24.0,72,182,77,27,RM/CAM,3,3,73,74,47,28,44,53,67,63,36,75,64,69
3690,Davide Di Gennaro,Italy,0,0.0,Cagliari,Sub,8.0,72,181,71,28,CM,4,4,75,71,39,47,60,59,71,65,59,76,60,68
3691,Steeven Langil,France,0,0.0,Waasl. Beveren,LM,10.0,72,179,69,29,LM/RM,4,3,71,74,11,39,27,40,67,68,34,92,63,44
3692,Guy-Roland Ndy Assembe,Cameroon,0,0.0,AS Nancy,Sub,16.0,72,184,79,31,GK,2,1,24,11,11,17,14,17,59,11,20,48,10,15
3693,Casado,Spain,0,0.0,CD Numancia,LB,2.0,72,173,72,30,LB,3,2,71,69,64,75,70,77,65,52,70,78,52,40
3694,David González,Colombia,Sub,23.0,Indep. Medellín,GK,22.0,72,194,84,34,GK,2,1,25,11,14,12,11,44,63,15,24,37,12,15
3695,Jan Morávek,Czech Republic,0,0.0,FC Augsburg,Sub,14.0,72,180,75,27,CM/CAM,3,3,74,75,43,55,58,64,72,71,60,54,66,69
3696,Krisztián Németh,Hungary,Sub,11.0,Free Agents,Res,99.0,72,180,74,28,ST/CAM,3,3,72,74,35,29,33,63,67,76,37,78,72,70
3697,Fedor Kudryashov,Russia,CB,13.0,FC Rostov,LWB,30.0,72,181,77,29,LWB/CB,2,3,69,61,72,71,74,71,72,45,72,73,41,46
3698,Rincón,Brazil,0,0.0,ES Troyes AC,Sub,11.0,72,188,80,29,CB,3,2,50,40,71,70,72,70,72,30,83,46,20,29
3699,Aly Cissokho,France,0,0.0,Olympiakos CFP,LB,22.0,72,181,75,29,LB,2,2,66,61,75,77,77,77,57,56,66,76,56,48
3700,Rasmus Bengtsson,Sweden,0,0.0,Malmö FF,RCB,17.0,72,186,80,30,CB,3,2,59,48,70,78,76,65,70,36,71,50,38,46
3701,Damien Marcq,France,0,0.0,Sp. Charleroi,LDM,25.0,72,181,78,28,CDM/CM,3,2,67,57,67,70,72,74,71,39,75,57,49,33
3702,Carlão,Brazil,0,0.0,Torino,Sub,5.0,72,182,73,31,CB/CDM,2,2,67,59,69,72,70,82,72,42,71,69,44,38
3703,Ceyhun Gülselam,Turkey,0,0.0,Karabükspor,RDM,6.0,72,192,88,29,CDM/CM,3,2,64,57,75,70,73,72,74,48,73,55,47,36
3704,Lulinha,Brazil,0,0.0,Pohang Steelers,RCM,10.0,72,170,68,26,ST/CAM,3,4,77,74,34,33,31,49,70,75,38,82,71,66
3705,Ragnar Sigurðsson,Iceland,0,0.0,Fulham,Sub,17.0,72,187,77,30,CB,3,2,52,30,69,71,71,80,68,29,74,68,26,65
3706,Zoltán Stieber,Hungary,0,0.0,Kaiserslautern,Sub,10.0,72,175,67,28,CAM/LM,3,3,72,74,26,32,31,41,68,66,31,77,70,65
3707,Maurice Edu,United States,0,0.0,Philadelphia,Res,8.0,70,185,81,30,CDM,3,2,65,67,70,71,70,83,69,59,63,67,59,69
3708,Miguel Samudio,Paraguay,0,0.0,América,LWB,6.0,72,175,76,30,LB,3,3,72,70,68,71,68,72,69,64,64,80,51,54
3709,Bakary Sako,Mali,0,0.0,Crystal Palace,Res,26.0,72,184,90,28,LM,3,3,73,76,37,35,33,75,67,72,40,79,66,70
3710,George Boyd,Scotland,0,0.0,Burnley,RM,21.0,72,186,79,31,RM,4,4,73,75,56,59,63,47,68,69,59,68,69,71
3711,Taras Mykhalyk,Ukraine,0,0.0,Lokomotiv Moscow,Sub,17.0,72,184,83,33,CDM/CB,3,2,62,55,72,75,71,75,65,33,74,66,46,47
3712,Alex Pearce,Republic of Ireland,0,0.0,Derby County,LCB,16.0,72,188,85,28,CB,2,2,50,35,75,70,72,80,66,31,69,46,16,32
3713,Gilles Cioni,France,0,0.0,SC Bastia,RB,29.0,72,165,65,32,RB,3,2,73,56,76,75,72,77,70,48,74,61,22,50
3714,Wout Brama,Netherlands,0,0.0,FC Utrecht,CDM,23.0,72,176,71,30,CDM/CM,3,2,70,66,68,69,71,65,72,62,70,43,43,63
3715,Scott Arfield,Canada,LCM,16.0,Burnley,Sub,37.0,72,178,70,28,LM/CM,3,3,72,74,62,60,64,42,65,69,65,69,69,62
3716,Nenê,Brazil,0,0.0,La Spezia,ST,9.0,72,183,78,33,ST,3,3,76,66,18,22,30,84,62,79,20,67,71,78
3717,Seth De Witte,Belgium,0,0.0,KV Mechelen,LCB,4.0,72,193,87,29,CB/CDM,3,2,66,50,66,65,69,84,68,54,69,74,54,73
3718,Romain Brégerie,France,0,0.0,FC Ingolstadt,CB,18.0,72,190,88,30,CB/CDM,3,2,55,46,70,70,71,74,66,33,66,63,35,65
3719,Mehmet Güven,Turkey,0,0.0,Osmanlıspor,Sub,6.0,72,180,79,29,CDM,2,2,77,67,67,65,71,75,68,56,72,64,46,58
3720,Mario Vrančić,Bosnia Herzegovina,0,0.0,SV Darmstadt,CAM,6.0,72,187,78,27,CM/CAM,3,3,75,75,39,35,56,66,70,67,58,55,66,55
3721,Ángel,Spain,0,0.0,Real Zaragoza,ST,9.0,72,172,68,29,ST,3,3,75,74,14,20,23,62,73,71,26,79,76,69
3722,Carlos Felipe Rodríguez,Mexico,0,0.0,Monarcas Morelia,GK,1.0,72,183,82,27,GK,3,1,12,14,19,19,20,21,69,13,14,52,16,18
3723,Timothy Derijck,Belgium,0,0.0,Zulte-Waregem,RCB,6.0,72,185,83,29,CB/CDM,4,2,63,45,71,68,69,81,62,33,72,63,42,71
3724,Manuel da Costa,Morocco,0,0.0,Olympiakos CFP,Sub,6.0,72,192,84,30,CB,3,2,60,50,69,69,73,84,57,30,70,67,28,44
3725,Suso Santana,Spain,0,0.0,CD Tenerife,RM,10.0,72,172,62,32,RM/CAM,3,3,75,76,49,51,59,81,76,72,49,85,62,66
3726,Gustav Svensson,Sweden,0,0.0,Sounders FC,RCB,4.0,72,184,83,30,CB/CDM,2,2,62,48,62,75,73,90,74,35,81,53,34,45
3727,Ruben Yttergård Jenssen,Norway,0,0.0,FC Groningen,LCM,8.0,72,173,74,28,CM/CDM,2,3,70,69,68,51,61,70,72,69,69,68,59,51
3728,Nuno Coelho,Portugal,0,0.0,Arouca,RDM,66.0,72,183,76,29,CDM/CB,3,2,65,57,70,68,72,81,74,47,78,50,33,46
3729,Patrick Ebert,Germany,0,0.0,Rayo Vallecano,CAM,20.0,72,175,75,30,RM/LM,4,3,72,70,58,49,55,69,75,66,67,65,70,59
3730,Tobias Werner,Germany,0,0.0,VfB Stuttgart,Sub,17.0,72,174,70,31,LM,2,2,67,69,39,36,49,61,72,76,65,78,72,56
3731,Mark Milligan,Australia,LCM,5.0,Free Agents,Res,99.0,72,178,78,31,CDM,3,2,66,62,71,73,75,80,69,53,60,66,48,80
3732,Hugo Droguett,Chile,0,0.0,CD Antofagasta,Sub,33.0,72,170,68,34,CAM/LM,3,3,69,72,31,31,36,47,70,72,54,76,69,64
3733,Máyer Candelo,Colombia,0,0.0,Deportivo Cali,CAM,17.0,72,170,65,40,CAM,4,3,77,68,37,36,38,52,71,68,56,38,60,60
3734,McDonald Mariga,Kenya,0,0.0,Latina,RCM,17.0,72,183,84,29,CDM/CM,3,2,70,56,64,68,72,76,67,59,76,64,41,50
3735,Sebastian Boenisch,Poland,0,0.0,1860 München,RCB,6.0,72,191,90,30,CB/RB,3,2,60,59,67,71,73,83,70,58,67,74,32,49
3736,Marcin Robak,Poland,0,0.0,Lech Poznań,ST,11.0,72,182,78,34,ST,3,3,70,67,21,24,19,66,66,78,41,72,74,84
3737,Zlatan Ljubijankič,Slovenia,0,0.0,Urawa Diamonds,Sub,21.0,72,186,80,33,ST/RWB,4,3,71,70,32,54,49,72,75,73,48,58,69,59
3738,Thomas Matton,Belgium,0,0.0,KAA Gent,Sub,8.0,72,179,73,31,LM/CF,3,3,74,72,29,38,35,48,69,74,52,64,72,63
3739,Samir Ujkani,Kosovo,0,0.0,Pisa,GK,1.0,72,186,78,28,GK,2,1,23,12,16,10,11,20,66,10,10,49,13,22
3740,Sébastien Siani,Cameroon,LDM,15.0,KV Oostende,LCM,7.0,72,175,76,30,CM/CDM,3,2,71,68,63,65,69,71,72,66,73,66,61,84
3741,Constant Djakpa,Ivory Coast,0,0.0,1. FC Nürnberg,Sub,15.0,72,177,71,30,LB/LM,3,3,70,70,69,73,72,74,65,63,65,76,38,56
3742,Pablo Barrera,Mexico,0,0.0,U.N.A.M.,RM,8.0,72,178,72,29,RM,4,3,71,72,32,37,51,60,65,68,48,79,64,67
3743,Ramón Fernández,Argentina,0,0.0,Colo-Colo,CAM,10.0,72,170,66,32,CAM,3,3,74,72,51,59,55,75,64,67,59,68,60,70
3744,Adrian Mariappa,Jamaica,0,0.0,Watford,Res,6.0,72,178,81,30,RB/CB,3,2,65,59,76,79,76,58,73,53,65,71,27,44
3745,Lee Tomlin,England,0,0.0,Bristol City,CAM,10.0,72,180,74,28,CAM/LM,3,3,70,74,29,33,36,78,63,69,46,73,72,71
3746,Ramon Leeuwin,Netherlands,0,0.0,FC Utrecht,RCB,3.0,72,187,76,29,CB,3,2,65,47,71,69,70,67,64,54,72,72,36,65
3747,Matteo Ardemagni,Italy,0,0.0,Avellino,LS,33.0,72,185,82,30,ST,3,3,72,59,11,11,14,43,69,73,15,75,71,73
3748,Joey van den Berg,Netherlands,0,0.0,Reading,CDM,4.0,72,182,77,31,CDM/CB,3,3,67,62,66,72,71,93,67,63,71,54,59,67
3749,Matías Fritzler,Argentina,0,0.0,Parque Patricios,CDM,5.0,72,179,73,30,CDM,3,2,63,57,58,76,82,74,68,59,83,49,39,51
3750,Gonzalo Bergessio,Argentina,0,0.0,San Lorenzo,Sub,15.0,72,179,74,32,ST,4,2,69,66,26,30,29,85,78,75,25,67,72,68
3751,Bilal Kısa,Turkey,0,0.0,Bursaspor,Res,5.0,72,180,70,33,CM/CAM,3,3,73,74,54,53,59,55,65,60,58,62,67,74
3752,Luso,Spain,0,0.0,Córdoba CF,LDM,6.0,72,183,75,32,CDM/CB,3,2,68,55,59,71,80,81,67,57,78,68,49,64
3753,Carpio,Spain,0,0.0,Cádiz C.F.,RB,2.0,72,178,67,32,RB,3,2,60,53,67,76,74,85,68,52,71,81,42,47
3754,Toquero,Spain,0,0.0,Deport. Alavés,Sub,18.0,72,182,78,32,ST/LM,3,2,62,65,46,47,56,87,81,81,57,70,63,66
3755,Pablo Granoche,Uruguay,0,0.0,La Spezia,Sub,29.0,72,182,82,33,ST,3,2,69,63,22,24,27,63,68,74,15,67,73,75
3756,Miku,Venezuela,0,0.0,Rayo Vallecano,Sub,7.0,72,186,79,31,ST/CF,3,3,73,71,44,37,37,68,64,78,25,74,75,68
3757,Hugo Vieira,Portugal,0,0.0,Yokohama F. Marinos,ST,7.0,72,178,73,28,ST,3,3,75,79,25,19,28,56,75,71,23,86,69,60
3758,Sam Hutchinson,England,0,0.0,Sheffield Wed,RCM,23.0,72,182,73,27,CDM/CB,3,2,67,62,69,75,71,92,69,48,73,69,51,55
3759,Andreas Ulmer,Austria,0,0.0,RB Salzburg,LB,17.0,72,175,69,31,LB,3,2,70,67,69,73,71,67,74,71,69,71,39,44
3760,Aldo Leão Ramírez,Colombia,0,0.0,Atl. Nacional,RDM,29.0,73,175,76,35,CM,3,3,72,71,70,65,66,50,75,66,68,66,68,69
3761,Carmona,Spain,0,0.0,Sporting Gijón,RM,19.0,72,177,72,29,RM/CM,3,4,73,70,37,37,44,59,72,69,55,65,59,80
3762,Issiar Dia,Senegal,0,0.0,AS Nancy,RW,10.0,72,167,62,29,RM/ST,3,3,71,75,40,14,19,49,77,59,16,82,70,62
3763,Marcelo Oliveira,Brazil,0,0.0,Moreirense,Sub,26.0,72,185,80,35,CB,3,2,54,49,73,68,71,80,67,31,75,54,38,66
3764,Nsue,Equatorial Guinea,0,0.0,Birmingham City,RWB,2.0,72,178,75,27,RB/RWB,3,3,70,72,58,71,64,74,73,69,64,86,59,49
3765,Adem Büyük,Turkey,0,0.0,Kasimpaşa,LM,10.0,72,167,61,29,LM/ST,2,3,75,76,16,20,19,74,72,73,37,77,74,59
3766,Jorge Torres Nilo,Mexico,0,0.0,Tigres,LB,6.0,72,180,78,29,LB,2,2,65,61,70,71,74,85,72,54,70,75,34,63
3767,Oscar Ustari,Argentina,0,0.0,Atlas,GK,1.0,72,184,82,30,GK,2,1,29,13,12,13,12,38,70,15,28,62,14,18
3768,Gökhan Değirmenci,Turkey,0,0.0,Gaziantepspor,Sub,83.0,72,185,79,28,GK,2,1,29,12,12,22,19,19,60,14,22,55,15,15
3769,Marc Pugh,England,0,0.0,Bournemouth,Sub,7.0,72,180,72,29,LM,4,4,73,77,30,31,44,60,60,70,37,74,68,64
3770,Alexandr Bukharov,Russia,Sub,24.0,FC Rostov,Sub,11.0,72,193,90,32,ST,2,3,70,64,23,28,28,74,75,75,34,69,69,69
3771,Molinero,Spain,0,0.0,Getafe CF,LB,15.0,72,175,64,31,LB/RB,2,2,68,59,69,73,65,80,72,59,67,79,45,49
3772,Cristian Villagra,Argentina,0,0.0,Rosario Central,LB,33.0,72,177,73,31,LB,3,3,66,68,69,73,71,80,71,55,70,79,49,56
3773,Stephen Ward,Republic of Ireland,Sub,17.0,Burnley,LB,23.0,72,184,82,31,LB,5,3,68,66,72,73,72,72,74,58,73,69,61,62
3774,Édouard Duplan,France,0,0.0,ADO Den Haag,LW,21.0,72,180,74,33,CAM/RW,4,3,73,74,54,47,55,62,71,70,52,59,70,62
3775,Edinho,Portugal,0,0.0,V. Setúbal,ST,36.0,72,182,75,34,ST,3,3,69,64,22,33,25,69,70,73,37,64,76,76
3776,Steven Fletcher,Scotland,Sub,9.0,Sheffield Wed,Sub,6.0,72,186,76,30,ST,3,2,74,64,23,14,22,56,70,71,36,69,73,73
3777,Lee Wallace,Scotland,0,0.0,Rangers,LB,5.0,72,185,75,29,LB,3,2,71,64,66,69,71,64,63,59,71,84,50,58
3778,Chris Wondolowski,United States,0,0.0,SJ Earthquakes,RS,8.0,72,183,75,34,ST,3,2,72,68,46,44,48,65,71,78,46,55,73,72
3779,Christophe Mandanne,France,0,0.0,AS Nancy,Sub,12.0,72,171,62,32,ST/CF,3,3,74,74,32,32,52,67,76,77,36,76,72,67
3780,Jonny Hayes,Republic of Ireland,0,0.0,Aberdeen,LM,11.0,72,173,70,29,LM,4,3,71,74,43,35,49,52,54,57,47,91,61,48
3781,Matt Jarvis,England,0,0.0,Norwich,Sub,11.0,72,170,72,30,LM/RM,4,3,75,77,33,33,37,60,70,63,51,77,62,66
3782,Franck Berrier,France,0,0.0,KV Oostende,CAM,10.0,72,175,65,33,CAM,4,3,71,66,22,30,33,37,71,71,52,53,64,72
3783,Abou Diaby,France,0,0.0,Olym. Marseille,Res,5.0,72,191,75,30,CDM/CM,3,3,74,73,69,73,74,74,74,75,68,62,65,74
3784,David Jones,England,0,0.0,Sheffield Wed,Sub,3.0,72,183,80,32,CM,2,2,69,71,65,63,67,55,67,64,74,67,62,58
3785,Mark Bunn,England,0,0.0,Aston Villa,Sub,31.0,72,183,78,32,GK,2,1,34,16,12,14,20,40,67,14,20,46,15,44
3786,Florian Klein,Austria,Sub,17.0,VfB Stuttgart,Sub,16.0,72,180,66,30,RB/RM,3,3,69,71,70,70,72,74,66,62,66,79,53,69
3787,Sebastián Viera,Uruguay,0,0.0,Junior,GK,1.0,72,184,86,34,GK,3,1,24,7,9,9,9,30,76,14,22,37,8,24
3788,Steven Taylor,England,0,0.0,Ipswich,Sub,2.0,72,186,91,31,CB,3,2,60,39,73,68,70,80,74,20,71,49,32,46
3789,Kasper Hämäläinen,Finland,0,0.0,Legia Warszawa,Sub,22.0,72,187,74,30,CAM/ST,3,3,70,65,40,46,48,48,71,75,52,80,71,52
3790,Marco Schneuwly,Switzerland,0,0.0,FC Luzern,ST,15.0,72,183,82,32,ST/CF,4,2,71,62,41,35,45,65,66,85,45,61,73,62
3791,Salva Sevilla,Spain,0,0.0,RCD Espanyol,Sub,8.0,72,178,71,33,CAM/CM,3,3,76,71,47,34,39,57,72,66,55,51,59,71
3792,Pablo Álvarez,Argentina,0,0.0,Racing Club,Sub,20.0,72,178,80,32,LB/RB,3,2,64,59,76,71,74,81,75,52,73,69,43,49
3793,Zé Castro,Portugal,0,0.0,Rayo Vallecano,Sub,18.0,72,183,76,34,CB,3,2,66,52,69,77,75,63,62,39,78,53,46,45
3794,Uwe Hünemeier,Germany,0,0.0,Brighton,RCB,4.0,72,189,84,31,CB,4,2,63,50,73,70,69,68,71,40,72,66,40,56
3795,Djamel Mesbah,Algeria,0,0.0,Crotone,Sub,15.0,72,179,74,32,LB/LM,3,2,74,67,63,71,72,70,65,69,69,77,40,60
3796,Moritz Stoppelkamp,Germany,0,0.0,Karlsruher SC,RM,7.0,72,180,75,30,LM/CM,3,3,68,72,47,51,53,62,67,68,56,78,65,59
3797,Pedro López,Spain,0,0.0,Levante UD,RB,19.0,72,174,72,33,RB/RM,3,2,73,68,72,67,74,77,69,59,73,72,53,58
3798,Mauricio Molina,Colombia,0,0.0,Indep. Medellín,Sub,20.0,72,176,66,36,CAM,2,3,73,72,15,11,18,23,63,67,27,75,69,78
3799,Bartosz Białkowski,Poland,0,0.0,Ipswich,GK,33.0,72,193,86,29,GK,3,1,18,14,12,14,15,27,71,13,23,58,13,17
3800,Valerică Găman,Romania,0,0.0,Karabükspor,RCB,5.0,72,188,73,28,CB,3,2,56,51,73,72,74,70,68,59,71,63,47,69
3801,Alejandro Faurlín,Argentina,0,0.0,Getafe CF,RDM,4.0,72,185,76,30,CDM/CM,2,3,70,59,59,70,69,80,80,54,67,50,54,49
3802,Lucas Licht,Argentina,0,0.0,G. La Plata,LB,25.0,72,174,72,35,LB,4,2,69,76,75,71,73,65,66,53,67,81,52,83
